"Name","State","test/c_index","Notes","User","Tags","Created","Runtime","Sweep","activation","alpha","batchsize","bins","csv_path","d_gen_out","datapath","dim_hist_and_feature_path","dropout","epochs","l1_lambda","learningrate","modality","num_workers","repeating","storepath","c_index_epoch_val","c_index_last_val","c_index_max_val","epoch","test/runningloss","train/c_index","train/runningloss","valid/c_index","valid/runningloss"
"frosty-sweep-220","finished","0.6926851025869759","-","tobias-seibel","","2023-09-16T01:43:01.000Z","1472","bssvs8x8","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","/nodes/bevog/work4/seibel/data","[2048,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/tcga_brca_20x_features/pt_files""]","0.3","40","0","0.00005","PrePorpoise","2","5","/work4/seibel/data/results","8","0.5691056847572327","0.707317054271698","40","0.9439501683419806","0.9775717462954528","0.4366955633114368","0.5691056910569106","0.786273623186583"
"rare-sweep-219","finished","0.7252453166815344","-","tobias-seibel","","2023-09-16T01:33:06.000Z","820","bssvs8x8","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","/nodes/bevog/work4/seibel/data","[2048,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/tcga_brca_20x_features/pt_files""]","0.3","40","0","0.00005","PrePorpoise","2","4","/work4/seibel/data/results","25","0.49864497780799866","0.7533875107765198","40","0.8975339714672251","0.988772475146708","0.3049109785715787","0.4986449864498645","0.8870618168162949"
"glorious-sweep-218","finished","0.6284567350579839","-","tobias-seibel","","2023-09-16T01:30:03.000Z","921","bssvs8x8","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","/nodes/bevog/work4/seibel/data","[2048,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/tcga_brca_20x_features/pt_files""]","0.3","40","0","0.00005","PrePorpoise","2","3","/work4/seibel/data/results","38","0.7127371430397034","0.7208672165870667","40","1.0413674453493889","0.993086631474584","0.1250129762293698","0.7127371273712737","0.9872715812902306"
"legendary-sweep-217","finished","0.7024977698483497","-","tobias-seibel","","2023-09-16T01:19:21.000Z","820","bssvs8x8","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","/nodes/bevog/work4/seibel/data","[2048,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/tcga_brca_20x_features/pt_files""]","0.3","40","0","0.00005","PrePorpoise","2","2","/work4/seibel/data/results","21","0.7154471278190613","0.783197820186615","40","1.140422118290418","0.9976687478228248","0.12229354298980026","0.7154471544715447","0.9607268234114812"
"pious-sweep-216","finished","0.691793041926851","-","tobias-seibel","","2023-09-16T01:18:22.000Z","1471","bssvs8x8","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","/nodes/bevog/work4/seibel/data","[2048,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/tcga_brca_20x_features/pt_files""]","0.3","40","0","0.00005","PrePorpoise","2","1","/work4/seibel/data/results","29","0.46070459485054016","0.7506775259971619","40","0.9569532653415732","0.9916128513625768","0.138978333286725","0.46070460704607047","1.240411000338019"
"quiet-sweep-215","finished","0.7591436217662801","-","tobias-seibel","","2023-09-16T01:17:16.000Z","759","bssvs8x8","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","/nodes/bevog/work4/seibel/data","[2048,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/tcga_brca_20x_features/pt_files""]","0.3","40","0","0.00005","Porpoise","2","5","/work4/seibel/data/results","12","0.5813007950782776","0.6883468627929688","40","1.4192031676021826","0.995364291647686","0.1337155126806254","0.5813008130081301","1.466673449695736"
"revived-sweep-214","finished","0.699821587867975","-","tobias-seibel","","2023-09-16T01:07:40.000Z","698","bssvs8x8","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","/nodes/bevog/work4/seibel/data","[2048,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/tcga_brca_20x_features/pt_files""]","0.3","40","0","0.00005","Porpoise","2","4","/work4/seibel/data/results","19","0.5311653017997742","0.6355013847351074","40","1.0809992389165812","0.9912912993381388","0.3719589692237788","0.5311653116531165","1.731090918632912"
"rosy-sweep-213","finished","0.6340321141837645","-","tobias-seibel","","2023-09-16T01:04:02.000Z","789","bssvs8x8","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","/nodes/bevog/work4/seibel/data","[2048,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/tcga_brca_20x_features/pt_files""]","0.3","40","0","0.00005","Porpoise","2","3","/work4/seibel/data/results","23","0.5284552574157715","0.7289972901344299","40","1.3835671365262965","0.9963691417240548","0.22557393501975204","0.5284552845528455","1.980288305336676"
"major-sweep-212","finished","0.7181088314005353","-","tobias-seibel","","2023-09-16T00:58:47.000Z","1171","bssvs8x8","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","/nodes/bevog/work4/seibel/data","[2048,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/tcga_brca_20x_features/pt_files""]","0.3","40","0","0.00005","Porpoise","2","2","/work4/seibel/data/results","31","0.6016260385513306","0.8224931955337524","40","1.1623683157663605","0.9941852675580805","0.20083891454306235","0.6016260162601627","1.808439891253199"
"copper-sweep-211","finished","0.737957181088314","-","tobias-seibel","","2023-09-16T00:56:15.000Z","682","bssvs8x8","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","/nodes/bevog/work4/seibel/data","[2048,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/tcga_brca_20x_features/pt_files""]","0.3","40","0","0.00005","Porpoise","2","1","/work4/seibel/data/results","11","0.5704606771469116","0.718157172203064","40","1.3650147577960396","0.9967308877515476","0.13882134567682772","0.5704607046070461","2.1183969162759433"
"glorious-sweep-210","finished","0.5967885816235504","-","tobias-seibel","","2023-09-16T00:48:18.000Z","939","bssvs8x8","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","/nodes/bevog/work4/seibel/data","[2048,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/tcga_brca_20x_features/pt_files""]","0.3","40","0","0.00001","PrePorpoise","2","5","/work4/seibel/data/results","8","0.5826558470726013","0.7506775259971619","40","1.2945805482555632","0.9991425279348322","0.026804402380911016","0.5826558265582655","1.7891129189909758"
"super-sweep-209","finished","0.6570026761819804","-","tobias-seibel","","2023-09-16T00:42:34.000Z","818","bssvs8x8","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","/nodes/bevog/work4/seibel/data","[2048,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/tcga_brca_20x_features/pt_files""]","0.3","40","0","0.00001","PrePorpoise","2","4","/work4/seibel/data/results","6","0.6558265686035156","0.7588075995445251","40","1.2091130731515043","0.9998124279857444","0.09388975196417494","0.6558265582655827","2.0611350786841793"
"decent-sweep-208","finished","0.6663693131132917","-","tobias-seibel","","2023-09-16T00:34:02.000Z","1477","bssvs8x8","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","/nodes/bevog/work4/seibel/data","[2048,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/tcga_brca_20x_features/pt_files""]","0.3","40","0","0.00001","PrePorpoise","2","3","/work4/seibel/data/results","6","0.6097561120986938","0.7317073345184326","40","1.207218940764552","0.9952571076395402","0.08314021646543102","0.6097560975609756","1.4374993717886246"
"misunderstood-sweep-207","finished","0.6418376449598573","-","tobias-seibel","","2023-09-16T00:32:48.000Z","923","bssvs8x8","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","/nodes/bevog/work4/seibel/data","[2048,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/tcga_brca_20x_features/pt_files""]","0.3","40","0","0.00001","PrePorpoise","2","2","/work4/seibel/data/results","8","0.5284552574157715","0.7859078645706177","40","1.3385523277237856","0.9938101235295694","0.10520365711112976","0.5284552845528455","1.8466140069438417"
"tough-sweep-206","finished","0.6690454950936664","-","tobias-seibel","","2023-09-16T00:28:51.000Z","817","bssvs8x8","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","/nodes/bevog/work4/seibel/data","[2048,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/tcga_brca_20x_features/pt_files""]","0.3","40","0","0.00001","PrePorpoise","2","1","/work4/seibel/data/results","7","0.6287263035774231","0.7913278937339783","40","1.3421820668694622","0.999249711942978","0.046782353921249374","0.6287262872628726","1.633510014368993"
"sandy-sweep-205","finished","0.6819803746654772","-","tobias-seibel","","2023-09-16T00:19:43.000Z","780","bssvs8x8","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","/nodes/bevog/work4/seibel/data","[2048,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/tcga_brca_20x_features/pt_files""]","0.3","40","0","0.00001","Porpoise","2","5","/work4/seibel/data/results","11","0.6910569071769714","0.7506775259971619","40","1.09713458520185","0.9908089713014818","0.3790727659428547","0.6910569105691057","1.297353462559392"
"spring-sweep-204","finished","0.7011596788581623","-","tobias-seibel","","2023-09-16T00:17:11.000Z","696","bssvs8x8","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","/nodes/bevog/work4/seibel/data","[2048,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/tcga_brca_20x_features/pt_files""]","0.3","40","0","0.00001","Porpoise","2","4","/work4/seibel/data/results","9","0.6585366129875183","0.7479674816131592","40","1.1669134801811063","0.9903534392668614","0.4294875685675905","0.6585365853658537","1.204710669826944"
"clear-sweep-203","finished","0.6891168599464763","-","tobias-seibel","","2023-09-16T00:14:22.000Z","1171","bssvs8x8","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","/nodes/bevog/work4/seibel/data","[2048,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/tcga_brca_20x_features/pt_files""]","0.3","40","0","0.00001","Porpoise","2","3","/work4/seibel/data/results","2","0.6626016497612","0.7506775259971619","40","1.01595224718593","0.9870575310163724","0.5361493642351082","0.6626016260162602","1.2635231946156924"
"absurd-sweep-202","finished","0.6779661016949152","-","tobias-seibel","","2023-09-16T00:06:35.000Z","786","bssvs8x8","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","/nodes/bevog/work4/seibel/data","[2048,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/tcga_brca_20x_features/pt_files""]","0.3","40","0","0.00001","Porpoise","2","2","/work4/seibel/data/results","18","0.5325203537940979","0.6693766713142395","40","1.199449296867572","0.9959538036924892","0.260671964726359","0.532520325203252","1.132756958160877"
