"Name","Agent","State","test/c_index","Notes","User","Tags","Created","Runtime","Sweep","activation","alpha","batchsize","bins","csv_path","d_gen_out","d_hidden","datapath","dim_hist_and_feature_path","dropout","epochs","l1_lambda","learningrate","modality","num_workers","repeating","storepath","c_index_epoch_val","c_index_last_val","c_index_max_val","epoch","test/runningloss","train/c_index","train/runningloss","valid/c_index","valid/runningloss"
"driven-sweep-35","0z3ohh6w","finished","0.7270294380017841","-","tobias-seibel","","2023-09-24T17:56:45.000Z","840","ko0p59zv","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","256","/nodes/bevog/work4/seibel/data","[384,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/vit_mae_tiny_I1K_PT_TCGA_BRCA_FT_HIST_GEN_199eps_features/pt_files""]","0.5","40","0","0.000001","PrePorpoise","2","5","/work4/seibel/data/results","14","0.7900874614715576","0.795918345451355","40","0.34635867254711716","0.895549184061738","0.32713419128156884","0.7900874635568513","0.3770955969800347"
"still-sweep-39","4godg68i","finished","0.7256913470115968","-","tobias-seibel","","2023-09-24T18:10:33.000Z","847","ko0p59zv","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","256","/nodes/bevog/work4/seibel/data","[384,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/vit_mae_tiny_I1K_PT_TCGA_BRCA_FT_HIST_GEN_199eps_features/pt_files""]","0.5","40","0","0.000001","PrePorpoise","2","9","/work4/seibel/data/results","34","0.7696793079376221","0.7755101919174194","40","0.3316608731993256","0.8924944398295774","0.31523693384943713","0.7696793002915452","0.35084703558523056"
"comfy-sweep-13","hzf0ugiw","finished","0.7243532560214094","-","tobias-seibel","","2023-09-24T17:22:56.000Z","620","ko0p59zv","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","256","/nodes/bevog/work4/seibel/data","[384,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/vit_mae_tiny_I1K_PT_TCGA_BRCA_FT_HIST_GEN_199eps_features/pt_files""]","0.3","40","0","0.000001","PrePorpoise","2","3","/work4/seibel/data/results","12","0.7667638659477234","0.7988338470458984","40","0.3844542566926415","0.909054369088132","0.31515201436434415","0.7667638483965015","0.4216408051836026"
"treasured-sweep-18","u9g5ea1i","finished","0.7225691347011597","-","tobias-seibel","","2023-09-24T17:33:26.000Z","604","ko0p59zv","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","256","/nodes/bevog/work4/seibel/data","[384,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/vit_mae_tiny_I1K_PT_TCGA_BRCA_FT_HIST_GEN_199eps_features/pt_files""]","0.3","40","0","0.000001","PrePorpoise","2","8","/work4/seibel/data/results","30","0.7580174803733826","0.7755101919174194","40","0.3507650907631614","0.9319381548272998","0.31469215730493755","0.7580174927113703","0.4184200047820173"
"celestial-sweep-12","5p0zduvu","finished","0.7221231043710973","-","tobias-seibel","","2023-09-24T17:20:33.000Z","848","ko0p59zv","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","256","/nodes/bevog/work4/seibel/data","[384,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/vit_mae_tiny_I1K_PT_TCGA_BRCA_FT_HIST_GEN_199eps_features/pt_files""]","0.3","40","0","0.000001","PrePorpoise","2","2","/work4/seibel/data/results","13","0.82798832654953","0.8425655961036682","40","0.30908451644665125","0.9326884428843216","0.30150317734920645","0.8279883381924198","0.3692052978782233"
"drawn-sweep-163","u9g5ea1i","finished","0.7212310437109724","-","tobias-seibel","","2023-09-24T22:10:06.000Z","295","ko0p59zv","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","128","/nodes/bevog/work4/seibel/data","[384,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/vit_mae_tiny_I1K_PT_TCGA_BRCA_FT_HIST_GEN_199eps_features/pt_files""]","0.3","40","0","0.000001","Porpoise","2","3","/work4/seibel/data/results","38","0.7900874614715576","0.7900874614715576","40","0.34988730766931236","0.8829550631045848","0.37366936953056235","0.7900874635568513","0.32890477858627"
"good-sweep-189","4godg68i","finished","0.7190008920606601","-","tobias-seibel","","2023-09-24T22:51:16.000Z","449","ko0p59zv","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","128","/nodes/bevog/work4/seibel/data","[384,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/vit_mae_tiny_I1K_PT_TCGA_BRCA_FT_HIST_GEN_199eps_features/pt_files""]","0.5","40","0","0.000001","Porpoise","2","9","/work4/seibel/data/results","39","0.6093294620513916","0.6093294620513916","40","0.35014577355547133","0.8697714301026287","0.3812138562169398","0.60932944606414","0.37029076298925895"
"vital-sweep-16","0z3ohh6w","finished","0.7190008920606601","-","tobias-seibel","","2023-09-24T17:27:50.000Z","844","ko0p59zv","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","256","/nodes/bevog/work4/seibel/data","[384,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/vit_mae_tiny_I1K_PT_TCGA_BRCA_FT_HIST_GEN_199eps_features/pt_files""]","0.3","40","0","0.000001","PrePorpoise","2","6","/work4/seibel/data/results","28","0.8163265585899353","0.8163265585899353","40","0.3353203772430089","0.9054637048152416","0.3177972641288185","0.8163265306122449","0.35861310380038125"
"worthy-sweep-182","5p0zduvu","finished","0.7185548617305977","-","tobias-seibel","","2023-09-24T22:41:18.000Z","445","ko0p59zv","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","128","/nodes/bevog/work4/seibel/data","[384,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/vit_mae_tiny_I1K_PT_TCGA_BRCA_FT_HIST_GEN_199eps_features/pt_files""]","0.5","40","0","0.000001","Porpoise","2","2","/work4/seibel/data/results","7","0.7667638659477234","0.7842565774917603","40","0.3789726441269388","0.8854202952919424","0.3676097354399119","0.7667638483965015","0.356789973703553"
"azure-sweep-6","u9g5ea1i","finished","0.715878679750223","-","tobias-seibel","","2023-09-24T17:13:22.000Z","298","ko0p59zv","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","256","/nodes/bevog/work4/seibel/data","[384,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/vit_mae_tiny_I1K_PT_TCGA_BRCA_FT_HIST_GEN_199eps_features/pt_files""]","0.3","40","0","0.000001","Porpoise","2","6","/work4/seibel/data/results","32","0.8163265585899353","0.8250728845596313","40","0.322331467564695","0.8935394839090007","0.3587731068170118","0.8163265306122449","0.29901000208963713"
